epoch,duration_output_accuracy,duration_output_loss,duration_output_top3_accuracy,loss,pitch_output_accuracy,pitch_output_loss,pitch_output_top3_accuracy,tempo_output_accuracy,tempo_output_loss,tempo_output_top3_accuracy,time_shift_output_accuracy,time_shift_output_loss,time_shift_output_top3_accuracy,type_output_accuracy,type_output_loss,type_output_top3_accuracy,val_duration_output_accuracy,val_duration_output_loss,val_duration_output_top3_accuracy,val_loss,val_pitch_output_accuracy,val_pitch_output_loss,val_pitch_output_top3_accuracy,val_tempo_output_accuracy,val_tempo_output_loss,val_tempo_output_top3_accuracy,val_time_shift_output_accuracy,val_time_shift_output_loss,val_time_shift_output_top3_accuracy,val_type_output_accuracy,val_type_output_loss,val_type_output_top3_accuracy
1,0.5368999242782593,1.1222296953201294,0.9379030466079712,6.004335880279541,0.07021734118461609,3.503937244415283,0.1891569197177887,0.9221399426460266,0.25444296002388,0.9890136122703552,0.6706472635269165,1.0210316181182861,0.949367105960846,0.9799379110336304,0.09558435529470444,1.0,0.5681470036506653,1.1947765350341797,0.9372128844261169,8.165534019470215,0.07503828406333923,3.2286994457244873,0.26186829805374146,0.47320061922073364,3.198040246963501,0.47320061922073364,0.6493108868598938,0.9343839287757874,0.9678407311439514,1.0,0.006025346927344799,1.0
2,0.6114162802696228,0.9329478740692139,0.953427255153656,5.016567707061768,0.08311440050601959,3.372911214828491,0.21423453092575073,1.0,0.01068465318530798,1.0,0.751373291015625,0.6699409484863281,0.9742058515548706,0.9952232837677002,0.026325900107622147,1.0,0.6003062725067139,1.169319987297058,0.9356814622879028,8.061768531799316,0.09800919145345688,3.1469452381134033,0.2863706052303314,0.47320061922073364,3.528207540512085,0.47320061922073364,0.8085758090019226,0.6340964436531067,0.972434937953949,1.0,0.004718993324786425,1.0
3,0.6367327570915222,0.8896253108978271,0.9572486281394958,4.667025089263916,0.10078815370798111,3.273221731185913,0.26080724596977234,1.0,0.008556395769119263,1.0,0.8342488408088684,0.4667491912841797,0.9887747764587402,0.9952232837677002,0.02537032775580883,1.0,0.6003062725067139,1.1353061199188232,0.9326186776161194,8.10672378540039,0.12098009139299393,3.0510332584381104,0.29555895924568176,0.47320061922073364,3.831195592880249,0.47320061922073364,0.8147013783454895,0.539789617061615,0.9862174391746521,1.0,0.0030890731140971184,1.0
4,0.6587055325508118,0.8584333658218384,0.9620253443717957,4.447635173797607,0.13398614525794983,3.1650469303131104,0.31024599075317383,1.0,0.0068284738808870316,1.0,0.8645808696746826,0.3895778954029083,0.9945068359375,0.9952232837677002,0.024250222370028496,1.0,0.601837694644928,1.1216038465499878,0.9326186776161194,7.951555252075195,0.1332312375307083,2.9852380752563477,0.35375192761421204,0.47320061922073364,3.826326847076416,0.47320061922073364,0.8407350778579712,0.4786607027053833,0.9862174391746521,1.0,0.0028317063115537167,1.0
5,0.6790064573287964,0.8318484425544739,0.9672796726226807,4.260183334350586,0.15500357747077942,3.061422348022461,0.3448770046234131,1.0,0.006092905066907406,1.0,0.8875089287757874,0.33449259400367737,0.9957009553909302,0.9949844479560852,0.02291041612625122,1.0,0.6064318418502808,1.1110634803771973,0.9326186776161194,8.062642097473145,0.15926493704319,2.9166009426116943,0.4027565121650696,0.47320061922073364,4.105052471160889,0.47320061922073364,0.8728943467140198,0.4186871647834778,0.9908116459846497,1.0,0.0027849473990499973,1.0
6,0.6899928450584412,0.8048086166381836,0.9699068665504456,4.062016487121582,0.17793169617652893,2.9376163482666016,0.39025554060935974,1.0,0.005537894554436207,1.0,0.900883674621582,0.2898622155189514,0.9961786270141602,0.9954621195793152,0.02150336652994156,1.0,0.6309341788291931,1.0687255859375,0.9341500997543335,8.065649032592773,0.20673812925815582,2.832641363143921,0.430321604013443,0.47320061922073364,4.284238815307617,0.47320061922073364,0.8943338394165039,0.36518165469169617,0.9908116459846497,1.0,0.004301128908991814,1.0
7,0.6938141584396362,0.7837216854095459,0.9708622097969055,3.886895179748535,0.20372581481933594,2.821488380432129,0.43109625577926636,1.0,0.004905664827674627,1.0,0.9142584204673767,0.2546427845954895,0.9964174628257751,0.9957009553909302,0.01970638334751129,1.0,0.6385911107063293,1.0579476356506348,0.9341500997543335,7.978143215179443,0.20367534458637238,2.771519422531128,0.4486983120441437,0.47320061922073364,4.313685894012451,0.47320061922073364,0.9081164002418518,0.3202773928642273,0.9908116459846497,1.0,0.005096550099551678,1.0
8,0.6978743672370911,0.7598403096199036,0.9739670157432556,3.716200113296509,0.22354908287525177,2.707723617553711,0.4611893892288208,1.0,0.004422109108418226,1.0,0.9273943305015564,0.22417764365673065,0.9976116418838501,0.9959397912025452,0.018135853111743927,1.0,0.6447166800498962,1.0426968336105347,0.9356814622879028,7.835212230682373,0.2251148521900177,2.6990089416503906,0.46707504987716675,0.47320061922073364,4.273210525512695,0.47320061922073364,0.9264931082725525,0.2880738079547882,0.9908116459846497,1.0,0.005853109527379274,1.0
9,0.7090995907783508,0.7371746301651001,0.9756388664245605,3.5634617805480957,0.24217817187309265,2.6047422885894775,0.48889419436454773,1.0,0.004016915801912546,1.0,0.9367088675498962,0.19910818338394165,0.9973728060722351,0.9961786270141602,0.0164535753428936,1.0,0.65696781873703,1.0247637033462524,0.9402756690979004,7.910394668579102,0.2388973981142044,2.649533271789551,0.4885145425796509,0.47320061922073364,4.43540096282959,0.47320061922073364,0.9203675389289856,0.2652558386325836,0.9908116459846497,1.0,0.006697420496493578,1.0
10,0.7155480980873108,0.7156717777252197,0.9787437319755554,3.4278969764709473,0.26080724596977234,2.5135786533355713,0.5213757157325745,1.0,0.0036259139887988567,1.0,0.9453068971633911,0.1776186227798462,0.9980893135070801,0.9961786270141602,0.014896959066390991,1.0,0.6630933880805969,1.0158591270446777,0.9509953856468201,7.783689975738525,0.2664624750614166,2.6066129207611084,0.5191424489021301,0.47320061922073364,4.373353481292725,0.47320061922073364,0.9372128844261169,0.24427461624145508,0.9954057931900024,1.0,0.007161576766520739,1.0
